,Comments,Datetime,num_words
0,"Domestic helper also humans . Why those out there who want to engage them but still want to torture them. If they can’t meet up your standards then change them rather then hurting or torturing them. How much they r earning from you , just a few hundred and you expect them to do 24 hrs round the clock. How about I engage you as my domestic helper n torture you like this how will you feel. Please spare some though for the helper. If you want them to do a gd job you need to treat them like humans please.",2021-03-04,99
1,"I suggest MOM introduce a law whereby the Agent that brings in the FDW submit a report to MOM within the first 6 months of the FDW employment that the agent has called the FDW at least 3 times to ensure the FDW’s well being.  The report should be submitted to MOM for future reference, incase abuse cases surfaced. Agents make money from the FDW as well, that should be the least the Agents can do.  MOM should also follow up with a call yo the FDW at least once.  MOM can employ some staff for this job. Oh well. Just my 2 cents worth. ",2021-03-04,103
2,Omg .. All this feeble excuses to abuse those helpless maids ... Aren’t you all shameful of this sort of behaviour . Boh Kah si . .. your parents must be damn proud of u all . 👎👎,2021-03-04,32
3,Damn some of these domestic employers! They're getting more and more mental day by day.,2021-03-04,14
4,These people employ maids and treat them animals  Don't forget they also have families in their home town just like you. The difference is that you are born in a well to do family and they are not DON'T FORGET THEY ARE ALSO HUMANS,2021-03-07,42
5,"Only six months’ jail for this sadistic abuse when the maximum possible term was a total of 9 years?! What a joke, no wonder FDW abuse is rife in Singapore. This was also a case of imprisonment, as the mole didn’t let her go back to the agency when she asked (twice!). Absolutely disgraceful lack of justice. ",2021-03-05,57
6,"To the employer of the maid, Be prepare & good luck to you.. I suggest u start digging your grave & prepare your coffin.. Bcos the maid will revenge and do black magic to you.. 👋🏼☺️",2021-03-05,33
7,"Same old story.....mental problem, depression, anxiety......just to get less punishment!! Then go seek help! 😡😡",2021-03-06,16
8,https://www.mom.gov.sg/passes-and-permits/work-permit-for-foreign-domestic-worker/eligibility-and-requirements/employer-requirements  That's the requirements for employing FDW. So if the reason she abuse the helper due depression. Why in the first place MOM allowed her to employ a FDW if she herself not in stable mind or fully understand about her mental health??,2021-03-04,41
9,If a person suffers from depression n torture her own family members I genuinely believe but why can only sim at helpers our laws are far too lenient n will continue to happen to the helpless helpers sigh,2021-03-04,38
10,"Mental disorder? Depression? The common “Get-Out-Of-Jail-FREE” ticket for maid abuse cases is not working in this case. Glad the abuser was slapped with jail time. However I still feel 6 months’ jail term punishment is too light. Lives have been lost due to such abuses. Should have given her huge fines on top of 5 years’ jail time.  Having said that, I realised many maid-abusers are women, wives and mothers. Wonder what are the root causes that lead to such abusive behaviours on someone who literally has no power nor say in the family. ",2021-03-04,90
