,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
7,7,"While no major incident has been reported and people are generally cooperative, Mr Wong said measures are still necessary for the time being.",20/2/21,0.0062500000000000056,0.6666666666666666,0.091,0.909,0.0,-0.296,fear
11,11,Police only know how to catch indiviual holding a smiley face card on the street?,12/1/21,0.0,1.0,0.0,0.828,0.172,0.4019,fear
14,14,We should be glad that at least no innocent life was hurt in that accident.,16/2/21,-0.016666666666666663,0.6999999999999998,0.361,0.415,0.224,-0.5106,fear
24,24,"Enforcement Officers will do random spot checks, and neighbours might also tell on rule-breakers.",23/1/21,-0.5,0.5,0.0,1.0,0.0,0.0,fear
29,29,https://mothership.sg/2021/01/8-visitors-cny-day/ Enforcement officer will be going around house to do random spotcheck.,23/1/21,-0.5,0.5,0.0,1.0,0.0,0.0,fear
31,31,Lol,23/1/21,0.8,0.7,0.0,0.0,1.0,0.4215,fear
42,43,I think those SDA will just walk around the corridor looking out for shoes and loud noises.,23/1/21,0.1,0.8,0.0,1.0,0.0,0.0,fear
43,44,"But if ppl close the door, bring shoes inside and hang out in the bedroom, inspector also llst right?",23/1/21,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0,fear
47,48,GreatPumpkin wrote: I think those SDA will just walk around the corridor looking out for shoes and loud noises.,23/1/21,0.1,0.8,0.0,1.0,0.0,0.0,fear
69,81,"download image from instagram url Tell the public they will go door to door, conduct house checks when necessary and make arrests.",23/1/21,0.0,0.5333333333333333,0.121,0.879,0.0,-0.4404,fear
93,119,Don't be lenient on criminals who breaks the law Thank you traitor..\u4e8c\u4e94\u4ed4 spotted...,23/1/21,0.5,0.9,0.306,0.555,0.139,-0.4614,fear
99,125,Just empty threats unless neighbours so kaypo take video of people going in and out of our house.,23/1/21,-0.1,0.5,0.223,0.777,0.0,-0.5574,fear
100,126,"If not, how they know the 8 visitors are the only group or 2nd group visiting the house?",23/1/21,0.0,0.5,0.0,1.0,0.0,0.0,fear
102,128,Never heard of the enforcement officers catching anybody except those reported to them.,23/1/21,0.6,0.9,0.0,1.0,0.0,0.0,fear
119,145,"For me, usually only mingle with relatives and have less than 120 in total.",23/1/21,-0.05555555555555555,0.6055555555555555,0.0,1.0,0.0,0.0,fear
125,151,he just need to catch or fake catch 1 or 2 families then whole sg will scared alr.,23/1/21,-0.15,0.7,0.3,0.7,0.0,-0.7184,fear
131,157,"If they were caught not bringing nor installed the app, give reasonable fine.",23/1/21,0.30833333333333335,0.55,0.0,0.87,0.13,0.2023,fear
144,178,Impossible See how ppl go chalet or go hotel room n break limit Plenty of such ppl ard How they catch island wide They r not enough officers to give out summons,23/1/21,-0.19166666666666665,0.6,0.0,1.0,0.0,0.0,fear
145,181,All the Boomers scared here and there one.. anybody free can go LW house on CNY spot check his visitors is it 8...,23/1/21,0.4,0.8,0.107,0.772,0.121,0.1027,fear
177,227,fatboi666 wrote: gonna prepare 10 pairs of shoe and wait for dumb fug EO to cum and tio gan by moi at moi condo Srsly.,24/1/21,-0.375,0.5,0.121,0.879,0.0,-0.5106,fear
205,259,Ding Garden in New Bridge Road which allowed 13 diners from different households who sat across three tables on Feb 5 has been ordered to close from Feb 6 to 15.,10/2/21,0.06818181818181818,0.5272727272727272,0.0,1.0,0.0,0.0,fear
231,288,"zeroman wrote: neighbours can only report those having more than 8 visitors at a time, those come and go but more than 2 households visiting how to report?",23/1/21,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,fear
