,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
0,0,Another smart aleck \x93People should limit themselves to visiting a maximum of 2 households per day as much as possible.\x94 Got say can only receive a maximum of 2 households per day?,21/2/21,0.13809523809523808,0.6142857142857143,0.0,0.909,0.091,0.4019,joy
20,20,This is different from the current restriction of eight visitors at one time.,23/1/21,0.0,0.5,0.149,0.851,0.0,-0.2732,joy
56,66,They will be equipped with many Kums and new clothes and they will be like ur normal peeps.,23/1/21,0.26212121212121214,0.5348484848484848,0.0,0.872,0.128,0.3612,joy
97,123,"Then you sure gonna have 9 + 1 baby/1 toddler then go aiyah, it's only a child dun bother so much lah walau when confronted.",23/1/21,0.2333333333333333,0.6962962962962963,0.171,0.735,0.094,-0.2263,joy
128,154,"That will be more efficient way to enforce the ""max 8 visitors"" and ""2 household"" rules.",23/1/21,0.5,0.5,0.0,0.819,0.181,0.4754,joy
132,158,Also make temporary update not able to pause the app.,23/1/21,-0.25,0.625,0.0,1.0,0.0,0.0,joy
136,162,Everything went wrong after that period.,23/1/21,-0.5,0.9,0.383,0.617,0.0,-0.4767,joy
202,256,Crystal Jade Jiang Nan at VivoCity accepted a booking for 16 diners from different households and seated them across two tables on Feb 6.,10/2/21,0.0,0.6,0.0,0.913,0.087,0.2732,joy
277,347,MPs will be damn happy to follow the rules.,12/2/21,0.8,1.0,0.201,0.522,0.276,0.25,joy
289,359,"When residents are healthy, it is good for the economy and the country as a whole.",11/2/21,0.4666666666666666,0.5,0.0,0.699,0.301,0.6808,joy
291,361,People should be encouraged to go to the beach for more fresh air.,11/2/21,0.4,0.5,0.0,0.684,0.316,0.624,joy
301,371,"SINGAPORE - From next Tuesday (Jan 26), each household will only be allowed to receive up to eight unique visitors a day, said Education Minister Lawrence Wong on Friday.",22/1/21,0.125,0.6666666666666666,0.0,1.0,0.0,0.0,joy
309,379,"This means that masks must be worn while tossing the traditional yusheng, with no recitation of the usual auspicious phrases that are said at the time.",22/1/21,-0.125,0.5,0.155,0.845,0.0,-0.5267,joy
319,389,"The two-day exercise will start on Feb 8, with the authorities planning to progressively contact identified groups with further details.",22/1/21,0.0,0.5,0.0,1.0,0.0,0.0,joy
373,449,Nosy neighbours especially if you\x92re not on good terms with them.,22/1/21,0.35,0.8,0.194,0.806,0.0,-0.3412,joy
374,450,Does it means one household are only allowed to have up to 8 visitors a day?,22/1/21,0.0,1.0,0.0,1.0,0.0,0.0,joy
375,451,appletarts wrote: Does it means one household are only allowed to have up to 8 visitors a day?,22/1/21,0.0,1.0,0.0,1.0,0.0,0.0,joy
380,456,As a useless BBFA I also dun want to visit my successful relatives.,22/1/21,0.125,0.575,0.176,0.503,0.321,0.3182,joy
396,478,westernbarn wrote: Each household should implement book in/book out log to track Might as well ask every household paste safe entry for visitors to scan.,22/1/21,0.5,0.5,0.0,0.821,0.179,0.6124,joy
430,513,Happy CNY.,10/2/21,0.8,1.0,0.0,0.213,0.787,0.5719,joy
446,532,"Tonight, across Singapore, families will enjoy dinners with their loved ones.",11/2/21,0.55,0.65,0.0,0.559,0.441,0.7964,joy
459,545,"About 250,000 people in Singapore have already received the first dose of the vaccine so far.",11/2/21,0.175,0.6666666666666666,0.0,1.0,0.0,0.0,joy
470,556,"They deserve our heartfelt thanks,\x94 said Mr Lee.",11/2/21,0.0,1.0,0.0,0.667,0.333,0.5423,joy
