Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away",3/2/21,69,Circuit Breaker,76,3,-12.02177354,11,2,1,4.092672403,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,maybe can voluntary go back office yourself?,3/2/21,7,Circuit Breaker,7,0,-11.43762029,2,0,0,106.4913813,4,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,Not everyone is like ts. Most of them enjoy they coffee n tea in afternoon with work. Sibeh song Sent from Forever Dark using GAGT,3/2/21,25,Circuit Breaker,25,1,-12.78666067,4,0,0,9.120904641,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"wfh no day no night anytime must be online and answer phone call. kah pui. and company nvr pay OT, phone bill, internet bill, water and electricity bill. fxxk wfh fxxk humji lee fxxk winnie xi fxxk commie virus hope humji lee go langgar aviva bmw and die",3/2/21,48,Circuit Breaker,48,2,-15.8458456,6,3,0,3.241278563,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,at the end of the day fark the ccp i prefer to work in office too,3/2/21,16,Circuit Breaker,16,1,-10.52961691,3,0,1,20.83225589,3,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Pek cek siol My upstairs unit got one lao funkle, super love to diy heypi heypi will knock knock a bit here, knock knock a bit there if not drill a bit here & there i wanted to go up ask him you want to make your 99yo pigeon hole rook like palace is it????????? I'm very close to calling hdb riao",3/2/21,59,Circuit Breaker,61,3,-13.71253857,14,1,4,4.895466533,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,Plus busy checking crypto prices every 5 minutes Sent from middle class using GAGT,3/2/21,13,Circuit Breaker,14,1,-14.46017513,3,0,0,20.83225589,3,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"If no WFH, will throw letter liao. Heng not office environment. Can focus better on work.",3/2/21,16,Circuit Breaker,16,1,-12.2558365,2,0,0,13.87762478,2,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,got pros and cons. WFH I can settle my own stuff before meetings etc. If wife nag I just close my home office door. WFH can also oversleep and nap once in awhile on slower days. Overall prefer WFH,3/2/21,39,Circuit Breaker,39,2,-12.58896029,7,3,4,7.039559051,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"mgx-alander wrote: at the end of the day fark the ccp i prefer to work in office too At the end of the day, hatred won't make you happier because this world is actually fair.",3/2/21,33,Circuit Breaker,35,2,-10.85443934,7,0,2,14.26258971,2,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away In a way yes... wfh more stress... cos u keep thinking those at office keep talking behind u, since u are not physically there... thot u keng kia... The cycle repeats itself when roles are reversed ... now ur turn to talk behind them...",3/2/21,113,Circuit Breaker,121,4,-12.57656632,21,3,1,2.238282692,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,work is only stressful if u are working for ljlang i work literally 10h a day on 1 pt job + 2 bizs never complained a single day cus my biz are mine ))) money also mine of course ))),3/2/21,34,Circuit Breaker,37,2,-12.83713257,7,2,3,8.255840989,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away Either you have A or B but choose either one sure got something to 'balance' huan. You are not the only one. Some can even ki siao. If can, ask to go office to work. If not, then have to make adjustment. There is no other way round unless you quit your job.",3/2/21,123,Circuit Breaker,131,4,-11.56485373,25,5,4,2.552821808,0,0,1
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"You can send China the bill. Mr. Wood wrote: wfh no day no night anytime must be online and answer phone call. kah pui. and company nvr pay OT, phone bill, internet bill, water and electricity bill. fxxk wfh fxxk humji lee fxxk winnie xi fxxk commie virus hope humji lee go langgar aviva bmw and die",3/2/21,57,Circuit Breaker,57,3,-14.96976349,8,3,0,2.932783186,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away will hold 4) against u Sent from Anfield YNWA using GAGT",3/2/21,80,Circuit Breaker,89,3,-12.6185371,14,2,1,3.31116531,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Odessa wrote: You can send China the bill. Electrical bill higher , no compensation from companies",3/2/21,15,Circuit Breaker,15,1,-11.56662129,2,0,1,23.61550797,3,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,I chose to work in office so i cannot uds the issues. 1 - why at home only parents will ask help? You mean if work in office they miracoulsly no need? 2 - why wife nag? Cannot pretend not at home? 3 to 5 i fully agree thats why i wont WFH,3/2/21,47,Circuit Breaker,53,3,-12.08989252,7,1,2,6.623848925,1,0,1
Anyone here find WFH more stressful than in office?,3/2/21 18:43,NightGhost wrote: Not everyone is like ts. Most of them enjoy they coffee n tea in afternoon with work. Sibeh song Sent from Forever Dark using GAGT that is meant for ceca. sinkies should work 24/7,3/2/21,35,Circuit Breaker,37,2,-12.90954753,8,0,0,6.691448308,1,1,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Quite. But go office also sian, I just purely dislike this company as compare any coy that I worked b4.",3/2/21,19,Circuit Breaker,20,1,-12.08245806,2,1,1,26.8352074,3,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,agree on the disadvantages ts mentioned. i get free time to interview with other companies too. the benefits do outweigh the cons,3/2/21,22,Circuit Breaker,22,1,-10.79497943,5,0,0,14.10040367,2,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away if jitao too noisy (by neighbourhood construction noise) during virtual courses, i just heck give up and don't pay attention to the course alrdy",3/2/21,93,Circuit Breaker,102,4,-12.43071556,13,3,2,2.731627942,0,0,1
Anyone here find WFH more stressful than in office?,3/2/21 18:43,WFH is like siao. Start work 745 till 6. Conf call from 8pmto 11pm.,3/2/21,11,Circuit Breaker,14,1,-14.71090954,1,0,0,16.61032234,2,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: 3) Unnecessary construction noises from town council + neighbour drilling noises In my estate for the past >20 years, there hasn't been a single one-week period without some form of construction. SG truly is a hellhole.",3/2/21,32,Circuit Breaker,37,2,-12.76780767,3,0,1,6.883547835,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Yes more stress. Wanna crazy Liao. But I still prefer wfh cos of newborn , that\x92s the only reason . If not I go back office le",3/2/21,25,Circuit Breaker,26,2,-12.17102954,3,1,2,14.10040367,2,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away Your point one & two contradict each other. Not many married ppl lived with retired parents. If your retired parents and wife keep asking you for help and nagged at you means the issue is more likely from you not WFH?? Sent from EDMWER app!",3/2/21,114,Circuit Breaker,122,4,-11.90838072,19,3,4,2.992538148,0,0,1
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"wooooot wrote: moi jobless more stress How you survive? Buy food, pay bills? Sent from middle class using GAGT",3/2/21,19,Circuit Breaker,19,1,-13.71167557,5,0,1,9.101596778,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"For electricity, use lesser aircon should be ok. My bills from WFH slightly higher than before WFH. For me, I'm lucky the company already are using virtual calls with overseas customers and HQ so in a way we already have the hardware and software for virtual conferences.",3/2/21,46,Circuit Breaker,47,2,-11.87125765,5,1,3,6.540652802,1,1,1
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"My flat sounds like it is right in the middle of an aircraft carrier. Haizzz And no end to work, keep fiddling laptop even though work hours ended.",3/2/21,28,Circuit Breaker,28,2,-11.14810878,5,3,0,11.86503578,2,0,1
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Prefer WFH. Time saved from travelling can use to sleep more or exercise. Food in CBD area also quite expensive. WFH can cook cheap, simple and healthy meals Most impt is don\x92t need see lj colleague and find topic to talk them during lunch. WFH better for mental health as less office politics too.",3/2/21,54,Circuit Breaker,55,3,-12.86278814,11,3,0,5.464426033,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,My PG neighbour blast 958 radio at least 3hours every day. Close main+bedroom door still can hear BOOM BOOM BOOM from the 'music'. Sent from Pluto using GAGT,3/2/21,27,Circuit Breaker,29,2,-14.45120029,2,1,0,7.578454205,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"mgx-alander wrote: at the end of the day fark the ccp i prefer to work in office too House in jurong, office in chennai biz park. Like that how?",3/2/21,28,Circuit Breaker,29,2,-11.90347157,4,0,1,8.80009514,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,will prefer not to wfh,3/2/21,5,Circuit Breaker,5,0,-11.15739091,2,0,0,408.4470075,4,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away 6) neighbour CECA kids wake up at 6 am and scream non stop till 10 pm. My ears hurt. Posted from PCWX using pigeons",3/2/21,91,Circuit Breaker,102,4,-12.60877267,19,2,1,2.767248172,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,honestly i prefer to work in office than at home. i find bosses are a lot more demanding.,3/2/21,18,Circuit Breaker,18,1,-10.57687456,4,0,1,20.46341014,3,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,Just felt the hours are longer,3/2/21,6,Circuit Breaker,6,0,-9.690999853,2,0,0,106.4913813,4,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Mr. Wood wrote: wfh no day no night anytime must be online and answer phone call. kah pui. and company nvr pay OT, phone bill, internet bill, water and electricity bill. fxxk wfh fxxk humji lee fxxk winnie xi fxxk commie virus hope humji lee go langgar aviva bmw and die lmao, the future working life will be this bro, or you rather wake up 7am every morning to take transport to work and play politics with your colleagues in office.",3/2/21,80,Circuit Breaker,81,3,-14.06615703,14,5,2,2.18390899,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"agent_719 wrote: Prefer WFH. Time saved from travelling can use to sleep more or exercise. Food in CBD area also quite expensive. WFH can cook cheap, simple and healthy meals Most impt is don\x92t need see lj colleague and find topic to talk them during lunch. WFH better for mental health as less office politics too. Pls use ur time more efficienter EFFICIENT-ER",3/2/21,62,Circuit Breaker,64,3,-13.33400103,11,3,0,4.937363586,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"knn u kena monitor by boss and cannot take afternoon nap, and watch netflix while working just say so la. simi wife nag, parents disturb u. LOL",3/2/21,27,Circuit Breaker,27,2,-14.34900784,5,2,0,8.276773537,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,gerrychua wrote: WFH is like siao. Start work 745 till 6. Conf call from 8pmto 11pm. Work from office can go shopping mall for lunch break and use travelling time as excuse,3/2/21,29,Circuit Breaker,32,2,-13.41940351,5,1,0,7.028494356,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,At home no aircon sweat alot le. Somemore need to go Skype or ms team to help user troubleshooting Posted from PCWX using ganyu mobile,3/2/21,25,Circuit Breaker,25,1,-14.74869446,7,1,0,8.132438565,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"radish wrote: honestly i prefer to work in office than at home. i find bosses are a lot more demanding. Correct. Bosses never see you = automatically thinking that you are not doing work. So, overload you just to be sure that there are enough work to do.",3/2/21,47,Circuit Breaker,47,2,-10.59909632,12,0,3,11.75430979,2,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,Not much complains as the nature of my job don't actually require to work in an office. Only downside is cannot get to see those sexy milf and syt during lunch and traveling time.,3/2/21,33,Circuit Breaker,34,2,-11.11674009,4,1,1,9.264009927,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"In a way I agree But also bored leh every day at home see 4 walls Ask qns or help also so difficult but then it works both way, I can also siam when someone asking me qns. In office, may not get enough help also I think my coy lousy. System very slow. Office slightly faster agent_719 wrote: Prefer WFH. Time saved from travelling can use to sleep more or exercise. Food in CBD area also quite expensive. WFH can cook cheap, simple and healthy meals Most impt is don\x92t need see lj colleague and find topic to talk them during lunch. WFH better for mental health as less office politics too.",3/2/21,112,Circuit Breaker,114,4,-12.46666981,20,9,4,2.804358064,0,0,1
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"middleclass wrote: How you survive? Buy food, pay bills? Sent from middle class using GAGT moi go coffeeshop eat leftovers sometimes wifey give allowance not enough bills i trade us market to pay",3/2/21,33,Circuit Breaker,33,2,-13.94613812,10,0,3,5.910306115,1,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Esirious0 wrote: lmao, the future working life will be this bro, or you rather wake up 7am every morning to take transport to work and play politics with your colleagues in office. wfh oso got politics. and worse. rather wake up at 7am evyday. after work hours is no calls no emails. but wfh is set push email notification to phone. if no reply within certain time means is skiving. now evyday weekends night oso expected to reply.",3/2/21,76,Circuit Breaker,78,3,-11.94255534,18,3,2,3.539428864,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away sibeh peceh ones. endless things to do at home very distracted",3/2/21,81,Circuit Breaker,89,3,-12.30199156,14,2,1,3.57160734,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,My girl come bj while i working halfway. Ended up humping her while monitoring the screen. And then 8 monitors become 2.,3/2/21,20,Circuit Breaker,22,1,-12.49538245,6,3,1,26.8352074,3,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away 1 & 3 use rtx voice to solve But yes agree that alot of distraction.",3/2/21,82,Circuit Breaker,92,3,-12.30424374,14,3,1,3.31116531,0,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Mr. Wood wrote: wfh oso got politics. and worse. rather wake up at 7am evyday. after work hours is no calls no emails. but wfh is set push email notification to phone. if no reply within certain time means is skiving. now evyday weekends night oso expected to reply. WFH lesser politics because not so much face to face interactions. Also, cheaper food and drink when I buy from hawker centre Work culture is dependent on boss. If the work culture sux, go office or stay at home also the same one, the boss will make you work to death.",3/2/21,99,Circuit Breaker,100,3,-11.78046887,20,4,2,2.531545932,0,0,1
Anyone here find WFH more stressful than in office?,3/2/21 18:43,Almost one year WFH I almost ki xiao liao Sent from MI 10 PRO  \u7248\u6b0a@TUV2008 \u7ffb\u5370\u5fc5\u7a76 Lim Kopi using GAGT,3/2/21,17,Circuit Breaker,24,1,-19.02887564,2,0,1,12.05424284,2,0,0
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"lalalalalala wrote: 1 & 3 use rtx voice to solve But yes agree that alot of distraction. Got way to mute background noise in Microsoft Team. I am sure that 1,3 can be easily solved.",3/2/21,31,Circuit Breaker,35,2,-12.13348795,7,1,0,9.264009927,1,0,1
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Pros and cons. Personally, if everyone can keep to office work at office hour, wfh should be quite enjoyable. Too bad, many people spoil market.",3/2/21,25,Circuit Breaker,25,1,-12.11759737,3,2,0,8.531123231,1,1,1
Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Moi work from home jin song. No need travel can wake up later, lunch can jiak cheap cai png near moi house, save alot of marnee",3/2/21,26,Circuit Breaker,26,2,-14.75031835,3,0,0,6.332062694,1,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"https://amp.scmp.com/news/hong-kong/...V2cUtpcU1KVQ.. https://www.zaobao.com.sg/znews/grea...27-1127213?amp Hopes that the postponed*air travel bubble*between Singapore and Hong Kong could start soon diminished on Friday, with the number of unlinkedcoronavirus*cases in the latter considered too unstable. Despite the two cities*discussing the possibility*of launching the route, Hong Kong\x92s commerce minister said there needed to be a \x93stable reduction\x94 in new Covid-19 infections before the bubble could start. \x93As we are coming down from the most recent [outbreak], the figures we have seen have not come to the comfort zone that we can sort of confidently say we can start the air travel bubble arrangement,\x94 said Secretary for Commerce and Economic Development Edward Yau Tang-wah.",27/2/21,106,Circuit Breaker,112,4,-12.81789288,21,2,1,2.607076905,0,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"there goes OYK's chance / hope liao! jonesftw wrote: https://amp.scmp.com/news/hong-kong/...V2cUtpcU1KVQ.. https://www.zaobao.com.sg/znews/grea...27-1127213?amp Hopes that the postponed*air travel bubble*between Singapore and Hong Kong could start soon diminished on Friday, with the number of unlinked coronavirus*cases in the latter considered too unstable. Despite the two cities*discussing the possibility*of launching the route, Hong Kong\u2019s commerce minister said there needed to be a \u201cstable reduction\u201d in new Covid-19 infections before the bubble could start. \u201cAs we are coming down from the most recent [outbreak], the figures we have seen have not come to the comfort zone that we can sort of confidently say we can start the air travel bubble arrangement,\u201d said Secretary for Commerce and Economic Development Edward Yau Tang-wah.",27/2/21,114,Circuit Breaker,121,4,-13.06769361,23,2,1,2.238530671,0,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,HK no confidence in our CECA?,27/2/21,6,Circuit Breaker,6,0,-12.76699074,0,0,1,36.84829056,4,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"Gxgx OYK, he can sleep well tonight!",27/2/21,7,Circuit Breaker,7,0,-13.96814405,1,0,0,56.27175551,4,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Everyday importing cases. Ownself sabo ownself. SIA to burn more money,27/2/21,11,Circuit Breaker,11,1,-14.46895712,2,0,0,26.40715086,3,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Lol it is Hong Kong that is having high cases .. three also have abt 10-20 cases a day,28/2/21,17,Circuit Breaker,18,1,-11.63257935,6,1,0,23.17147842,3,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Wtf is Hong Kong doing? They should stop testing so the cases will go down.,28/2/21,15,Circuit Breaker,15,1,-10.92047273,5,0,0,26.40715086,3,1,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,He is doing OYK a fav our by announcing this news 1st before OYK do a Cantonese video again,28/2/21,18,Circuit Breaker,19,1,-12.47093378,4,0,1,23.61550797,3,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,can open jp one bo?,28/2/21,5,Circuit Breaker,5,0,-14.02333954,2,0,0,106.4913813,4,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,The whole world knows india is full of virus.,28/2/21,9,Circuit Breaker,9,0,-11.18199082,2,0,0,36.84829056,4,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,just stop testing or start categorizing more cases as import lor ...... simple thing like this also dont know.,28/2/21,18,Circuit Breaker,18,1,-12.43967643,6,2,0,16.61032234,2,0,0
ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Ohayo! wrote: HK no confidence in our CECA? They jin scared of them Wait come in and spread more how,28/2/21,20,Circuit Breaker,20,1,-11.89387232,5,1,1,20.83225589,3,0,0
